timestamp,applied,status,hash,old_path,new_path,note
2026-06-30T15:19:48+08:00,yes,rename,40EB9551F32A6ADD,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\11.5 《北上》微博视界大会年度期待作品\微博视界大会发言.mov,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\11.5 《北上》微博视界大会年度期待作品\微博视界大会发言_40EB9551F32A6ADD.mov,
2026-06-30T15:19:48+08:00,yes,rename,6477CB6C921FF7A9,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\微信视频2025-12-30_102332_773.mp4,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\微信视频2025-12-30_102332_773_6477CB6C921FF7A9.mp4,
2026-06-30T15:19:48+08:00,yes,rename,363A3CAA71494A7A,F:\260629_客户补充物料\影视作品及高光片段\2025临江仙\23阿月抱着十安尸体被村民打 长琴为保护她死了 伤心欲绝.mov,F:\260629_客户补充物料\影视作品及高光片段\2025临江仙\23阿月抱着十安尸体被村民打 长琴为保护她死了 伤心欲绝_363A3CAA71494A7A.mov,
2026-06-30T15:19:48+08:00,yes,rename,31D2A47620237A16,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\1.13 2023年度微博之夜 年度瞩目演员\现场图及鹿微博奖杯图\2024-11-07 144329.heic,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\1.13 2023年度微博之夜 年度瞩目演员\现场图及鹿微博奖杯图\2024-11-07 144329_31D2A47620237A16.heic,
2026-06-30T15:19:48+08:00,yes,rename,FC82690B155B4595,F:\260629_客户补充物料\获奖视频\2025奖项\5.国际流媒体人气奖.jpg,F:\260629_客户补充物料\获奖视频\2025奖项\5.国际流媒体人气奖_FC82690B155B4595.jpg,
2026-06-30T15:19:48+08:00,yes,rename,5E2E72D06847A481,F:\260629_客户补充物料\影视作品及高光片段\2025白月梵星\红衣开大.mov,F:\260629_客户补充物料\影视作品及高光片段\2025白月梵星\红衣开大_5E2E72D06847A481.mov,
2026-06-30T15:19:48+08:00,yes,rename,C92C8E0689313C25,F:\260629_客户补充物料\十周年采访物料\十周年采访物料_video_【白鹿】190316 《招摇》小..._0.mp4,F:\260629_客户补充物料\十周年采访物料\十周年采访物料_video_【白鹿】190316 《招摇》小..._0_C92C8E0689313C25.mp4,
2026-06-30T15:19:48+08:00,yes,rename,CF78D81817126289,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\爱奇艺2025年度观众瞩目演员\图\2024-12-07 021058.jpg,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\爱奇艺2025年度观众瞩目演员\图\2024-12-07 021058_CF78D81817126289.jpg,
2026-06-30T15:19:48+08:00,yes,rename,E3F3C38DB1B2CB94,F:\260629_客户补充物料\影视作品及高光片段\2025北上\华子直球问望和是否喜欢自己.mov,F:\260629_客户补充物料\影视作品及高光片段\2025北上\华子直球问望和是否喜欢自己_E3F3C38DB1B2CB94.mov,
2026-06-30T15:19:48+08:00,yes,rename,041968A3301EFE87,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\1.13 2023年度微博之夜 年度瞩目演员\第二套白裙\2024-11-07 144227.heic,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\1.13 2023年度微博之夜 年度瞩目演员\第二套白裙\2024-11-07 144227_041968A3301EFE87.heic,
